Flag,Description
dash,Unknown collection method
b,Balancing item
c,Copied from elsewhere in the working system
e,Estimate automatically generated by a statistical algorithm (short: statistical estimate)
f,"Estimate manually derived, also on the basis of expert judgement (short: manual estimate)"
h,Collected using automatic data harvesting
i,Calculated as identity (e.g. yield)
n,"Value not collected or estimated, but can be assumed to be negligible"
p,Collected (manually) from publications or databases
q,Collected via a questionnaire (e.g. APQ)
s,"Calculated as sum (e.g. Grand Total, or High-income countries)"
t,Carry-forward estimate
u,Value not known
